Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
BADf_14,825,0.419,215.8,11.61,175.1,21.75,125.6,26.86,78.6,11.13,74.1,26.34,33.5,22.56,245000,1451,3440,353,1339,92.6,850,12.39
BADf_15,777,0.68,402,8.36,316,40.5,234.5,42.6,103.6,12.94,66.5,29.9,42.6,4.56,248700,1700,4210,523,2210,381,1200,8.14
BADf_16,1400,0.49,185,14.55,158.5,22.7,150,33,94.7,12.66,76.1,8.53,19,2.74,239000,1650,3570,351,1234,82.1,1103,9.99
BADf_17,604,0.345,312,9.54,260.2,33.06,190.7,35.4,93.4,11.23,61.2,9.435,22.49,21.3,251200,1223,3020,372,1623,415,957,7.74
BADf_18,846,0.039,207,9.4,186.4,27.1,175.2,34.1,98.6,13.72,80.4,14.81,27.4,3.68,242000,409,1420,193,960,349,930,10.84
BADf_19,712,0.14,250.1,13.59,212.8,27.86,161.7,32.4,86.4,11.3,66.2,10.08,4,16.41,257600,464,1603,236,1137,304,878,9.38
BADf_20,379.4,0.336,265.6,8.25,220.5,29.25,167,31.92,85.1,11.26,64.3,11.62,19.86,20.44,253200,1375,3220,375.2,1521,303.8,910,8.72
BADf_21,484,1.079,381.2,7.01,302.5,38.3,218,38.39,97.5,10.92,57.9,9.41,12.01,2.952,252600,1426,3580,442,2013,328.3,1100,6.98
BADf_22,478,0.177,192.8,11.47,177,22.52,141.9,27.32,74.9,10.49,64.7,8.79,26.7,14.17,256000,402,1212,173.9,805,323,734,10.59
BADf_23,1289,0.9,255.2,24.85,186.1,20.88,117,20.34,50.3,5.96,32.5,16.1,12.33,4.2,258900,1252,3020,364,1522,696,550,4.332
BADf_24,2329,0.666,360,32.83,289,35.5,195.8,35.6,87.1,10.21,53.5,11.13,9.44,2.22,256900,1390,3450,424,1882,343.6,977,6.72
BADf_25,1570,0.798,465,32.3,382,49,279,50.7,125,14.7,78.1,18.05,24.7,4.34,254100,1410,3730,501,2270,133.4,1360,9.78
BADf_26,825,0.247,270.2,14.21,259.9,35.1,213.5,39.8,105.6,12.92,68.2,7.985,17.71,14.39,261500,382,1341,206.3,1081,310.4,1184,8.77
BADf_27,1778,0.86,481,33.8,409,51.2,296,52.3,131,16.01,86.3,8.396,15.7,3.1,250100,1571,4160,557,2440,173.4,1482,10.47
BADf_28,840,0.185,127.2,17.12,135.3,19.18,117.4,22.65,58.8,7.53,40.8,12.78,3.32,2.123,263000,78.4,335,65.9,403,313.9,641,5.53
BADf_29,605,0.422,324,7.41,256.7,31.3,175.8,31.3,81.5,9.75,53.2,12.83,13.85,5.6,260000,1790,4160,471,1900,369,892,7.11
BADf_30,1097,0.24,321,10.27,321,48.1,318,68.8,206.4,29.2,177.4,6.718,36.9,17.1,259200,902,2476,326,1364,53.7,2430,24.2
BURvf_1,341.8,0.25,91.8,11.27,85.3,10.23,58,10.56,27.7,3.53,21.7,10.79,0.167,3.54,68100,88.3,308,56.1,338,467.1,306,3.3
BURvf_2,315,1.99,152.1,36.3,139.7,18.17,114.9,22.87,63.5,8.48,55.3,22.44,115.6,82,76900,882,1743,189.6,824,378,610,9.33
BURvf_3,427,0.661,2.48,0.1,6.05,0.892,6.99,2.07,7.7,1.67,16.18,5.645,12.62,3.56,78600,0.39,1.28,0.266,3.35,447,44.4,3.4
BURvf_4,413.9,4.33,329.8,34.31,315.3,43.22,265.7,54.74,162.3,23.69,162.4,29.2,208.8,92.8,66200,1193,2998,359.5,1623,374.4,1469,26.07
BURvf_5,398,0.043,64.7,11.67,63.5,7.04,36.55,6.06,13.86,1.558,8.04,6.689,0.0043,1.473,72600,22.28,131.1,31.8,220.3,419.7,154.1,1.152
BURvf_6,556.9,2.71,123,24,101.1,11.7,65.1,12.3,33.4,4.09,24.9,10.622,85.2,29.6,65400,729,1700,189,780,301.8,326,3.85
BURvf_7,292.8,0.026,5.82,2.7,9.88,1.089,6.99,1.629,4.69,0.617,4.52,10.245,0.0038,0.601,78800,2.17,9.62,2.04,17.3,394,44.3,0.894
BURvf_8,493.8,0.041,6.77,1.051,11.97,1.74,11.83,2.7,8.85,1.245,8.69,15.12,0.015,0.0429,78900,3.39,8.46,2.09,13.92,577,76.5,1.864
BURvf_9,745,0.5,91.2,18.42,84.6,10.77,65,14,39.9,5.47,37.1,7.732,12.92,5.67,76100,281.5,718,94.2,438,306.4,385,6.29
BURvf_10,588,0.583,37.8,11.4,30.7,3.94,23.67,5.03,16.02,2.34,16.73,10.84,48.6,34.5,67200,503.9,791,71,262.3,270.3,160.6,3.32
BURvf_11,319.7,0.012,5.51,2.13,7.71,0.868,4.93,0.933,2.39,0.267,1.69,6.134,0.0061,0.1812,76100,2.49,9.37,1.85,14.52,482,23.47,0.311
BURvf_12,663,0.6,42,9.93,35.8,4.6,29.9,6.71,20.99,3.47,24.72,7.57,24.3,7.98,78100,499,872,78.2,281,257.2,211.3,4.75
BURvf_13,594,1.7,116.9,22.02,99.5,12.18,69.2,13.22,35.34,4.34,27.15,6.485,70.5,26.71,74800,486,1349,162.1,695,354.5,348.3,4.16
BURvf_14,543.6,0.41,3.91,1.65,5.98,1.07,7.84,2.17,8.06,1.495,12.23,11.26,1.96,1.974,61300,1.62,7.08,1.35,10.6,501.2,63.5,2.24
BURvf_15,457,0.499,321,30.17,310,39.4,230.4,42.7,104.6,11.1,56.3,23.77,38.7,43.7,77500,1204,2811,337.6,1559,269.6,1140,8.18
BURvf_16,418.8,1.04,46.9,14.46,63.5,9.57,61.5,13.21,39.1,5.68,39.2,12.317,23.47,51.9,74400,10.1,68.7,17.2,122.3,343.2,379,6.65
BURvf_17,475,0.45,52.8,5.94,67.4,9.31,53.8,11.09,29.5,3.7,21.3,20.17,4.04,1.604,70800,18.7,92.2,20.7,140.2,918,287.8,3.48
BURvf_18,949,2620,123.5,19.4,106.5,13.2,76.9,15.06,41.4,5.45,36,10.53,9.55,5.4,60900,360.5,946,130,613,436,432.7,5.77
BURvf_19,152.9,0.13,9.88,2.22,9.2,0.766,3.76,0.726,1.95,0.208,1.41,15.13,0.193,0.1244,76200,109.2,174.3,17.53,79.4,1835,23.68,0.301
BURvf_20,588,0.79,19.63,3.9,23.17,2.9,17.24,3.53,9.08,1.057,6.66,9.96,0.025,0.732,60430,2.74,20.14,5.53,46.6,740,96,0.934
BURvf_21,176.8,0.011,1.38,0.438,2.6,0.547,5.09,1.541,5.56,0.791,4.82,6.402,0.0085,0.01,80300,1.64,2.07,0.76,3.25,916,45.2,0.745
